Date,StockCode,Quantity,Revenue,TransactionsCount,Category,Description,AvgUnitPrice,DayOfWeek,Month,Quarter,DayOfMonth,DayOfYear,IsWeekend,Sin_DayOfWeek,Cos_DayOfWeek,Sin_Month,Cos_Month,IsBlackFriday,IsCyberWeek,IsChristmasRush,IsNewYear,IsSummerSale,IsPromotion,Lag_1,Lag_7,Lag_14,Lag_28,RollingMean_7,RollingStd_7,RollingMean_14,RollingStd_14,RollingMean_28,RollingStd_28,RollingMin_7,RollingMax_7,PrevMonthDemand,DemandVolatility_7,Cat_Cookware,Cat_Electronics,Cat_Home___Kitchen,Cat_Lighting,Cat_Luggage___Travel,Cat_Office,Cat_Sports___Outdoors,Cat_Wellness,LogUnitPrice
2023-02-08,SKU_1001,33,412.5,12,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,2,2,1,8,39,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,27.0,25.0,12.0,17.0,24.714285714285715,9.569296137722384,25.857142857142858,11.16903096724388,22.071428571428573,10.680298828627553,10.0,39.0,651.0,0.38719679688023645,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-09,SKU_1001,19,237.5,8,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,3,2,1,9,40,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,33.0,19.0,34.0,29.0,25.857142857142858,10.073539123673985,27.357142857142858,10.558315300180329,22.642857142857142,10.825943755675908,10.0,39.0,672.0,0.38958423533050507,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-10,SKU_1001,23,287.5,10,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,4,2,1,10,41,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,19.0,20.0,20.0,13.0,25.857142857142858,10.073539123673985,26.285714285714285,10.593383794604076,22.285714285714285,10.773276756098493,10.0,39.0,670.0,0.38958423533050507,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-11,SKU_1001,39,487.5,13,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,5,2,1,11,42,1,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,23.0,33.0,48.0,7.0,26.285714285714285,9.844021632684575,26.5,10.486254739492956,22.642857142857142,10.61869171586659,10.0,39.0,676.0,0.3745006805094804,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-12,SKU_1001,19,237.5,13,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,6,2,1,12,43,1,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,39.0,10.0,35.0,8.0,27.142857142857142,10.745984853711194,25.857142857142858,9.27243344424871,23.785714285714285,10.594747625530172,10.0,39.0,686.0,0.39590455927715373,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-13,SKU_1001,30,375.0,11,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,0,2,1,13,44,0,0.0,1.0,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,19.0,39.0,28.0,17.0,28.428571428571427,8.695921320886448,24.714285714285715,9.042026418798043,24.178571428571427,10.183696379884463,19.0,39.0,692.0,0.3058865720308799,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-14,SKU_1001,26,325.0,7,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,1,2,1,14,45,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,30.0,27.0,12.0,16.0,27.142857142857142,7.448234050846576,24.857142857142858,9.113448581900546,24.642857142857142,10.140546722474474,19.0,39.0,715.0,0.27440852182805003,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-15,SKU_1001,8,100.0,6,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,2,2,1,15,46,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,26.0,33.0,25.0,31.0,27.0,7.461009761866459,25.857142857142858,8.328423462014728,25.0,9.999999999999996,19.0,39.0,733.0,0.2763335925381679,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-16,SKU_1001,10,125.0,6,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,3,2,1,16,47,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,8.0,19.0,19.0,17.0,23.428571428571427,9.744351233016028,24.642857142857142,9.604543338819017,24.178571428571427,10.424520848491547,8.0,39.0,724.0,0.41591725315185657,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-17,SKU_1001,15,187.5,10,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,4,2,1,17,48,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,10.0,23.0,20.0,23.0,22.142857142857142,10.94575368850971,24.0,10.28815599833876,23.928571428571427,10.683766056164705,8.0,39.0,718.0,0.49432413688308635,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-18,SKU_1001,26,325.0,11,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,5,2,1,18,49,1,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,15.0,39.0,33.0,13.0,21.0,11.25462867742276,23.642857142857142,10.52182451900768,23.642857142857142,10.815675474922312,8.0,39.0,702.0,0.5359344437180154,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-19,SKU_1001,25,312.5,9,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,6,2,1,19,50,1,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,26.0,19.0,10.0,37.0,19.142857142857142,8.53284968867517,23.142857142857142,10.204502346115078,24.107142857142858,10.619127695619495,8.0,30.0,711.0,0.44574564640694736,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-20,SKU_1001,23,287.5,11,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,0,2,1,20,51,0,0.0,1.0,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,25.0,30.0,39.0,20.0,20.0,8.812869377601531,24.214285714285715,9.48017016585812,23.678571428571427,10.31738400460178,8.0,30.0,713.0,0.4406432485584523,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-21,SKU_1001,10,125.0,8,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,1,2,1,21,52,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,23.0,26.0,27.0,8.0,19.0,7.831560082980497,23.071428571428573,8.471347960256164,23.785714285714285,10.293317295817756,8.0,26.0,723.0,0.4121871558478389,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-22,SKU_1001,23,287.5,10,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,2,2,1,22,53,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,10.0,8.0,33.0,12.0,16.714285714285715,7.78276484107215,21.857142857142858,9.062663412698726,23.857142857142858,10.186099045101306,8.0,26.0,696.0,0.4656352247268318,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-23,SKU_1001,28,350.0,13,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,3,2,1,23,54,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,23.0,10.0,19.0,34.0,18.857142857142858,7.010196655077323,21.142857142857142,8.493048223804461,24.25,9.920517459622086,10.0,26.0,699.0,0.37175265577920724,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-24,SKU_1001,44,550.0,19,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,4,2,1,24,55,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,28.0,15.0,23.0,20.0,21.428571428571427,6.502746672423458,21.785714285714285,8.657398538276349,24.035714285714285,9.765707737744746,10.0,28.0,719.0,0.30346136976445554,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-25,SKU_1001,12,150.0,7,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,5,2,1,25,56,1,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,44.0,26.0,39.0,48.0,25.571428571428573,10.01427552475536,23.285714285714285,10.505885320791695,24.892857142857142,10.429087832398046,10.0,44.0,751.0,0.39161956011127547,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-26,SKU_1001,12,150.0,8,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,6,2,1,26,57,1,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,12.0,25.0,19.0,35.0,23.571428571428573,11.237691679598363,21.357142857142858,9.857501187944624,23.607142857142858,9.66605088350665,10.0,44.0,729.0,0.4767503538464471,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-27,SKU_1001,41,512.5,13,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,0,2,1,27,58,0,0.0,1.0,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,12.0,23.0,30.0,28.0,21.714285714285715,12.009916537515792,20.857142857142858,10.159172762030932,22.785714285714285,9.639260548161563,10.0,44.0,721.0,0.5530880068845399,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-28,SKU_1001,31,387.5,13,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,1,2,1,28,59,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,41.0,10.0,26.0,12.0,24.285714285714285,14.079705083491458,21.642857142857142,11.283801479296587,23.25,10.196677018628286,10.0,44.0,714.0,0.579752323539868,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-01,SKU_1001,28,350.0,14,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,2,3,1,1,60,0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0,0,0,0,0,0,31.0,23.0,8.0,25.0,27.285714285714285,12.697956341006025,22.0,11.509193649493367,23.928571428571427,10.051454921141815,12.0,44.0,710.0,0.46536995712641455,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-02,SKU_1001,47,587.5,18,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,3,3,1,2,61,0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0,0,0,0,0,0,28.0,28.0,10.0,19.0,28.0,12.556538801224903,23.428571428571427,10.860757061827872,24.035714285714285,10.07924946815336,12.0,44.0,710.0,0.4484476541695843,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-03,SKU_1001,52,650.0,17,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,4,3,1,3,62,0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0,0,0,0,0,0,47.0,44.0,15.0,20.0,30.714285714285715,14.46506464686885,26.071428571428573,11.802635205842714,25.035714285714285,10.91543977111437,12.0,47.0,745.0,0.4709554398195403,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-04,SKU_1001,60,750.0,21,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,5,3,1,4,63,1,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0,0,0,0,0,0,52.0,12.0,26.0,33.0,31.857142857142858,15.931400560199457,28.714285714285715,13.19340494587861,26.178571428571427,11.990902636238271,12.0,52.0,772.0,0.5000886498439046,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-05,SKU_1001,37,462.5,15,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,6,3,1,5,64,1,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0,0,0,0,0,60.0,12.0,25.0,10.0,38.714285714285715,16.28613199130152,31.142857142857142,15.570470784133683,27.142857142857142,13.544752395681412,12.0,60.0,813.0,0.42067488742386905,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-06,SKU_1001,25,312.5,11,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,0,3,1,6,65,0,0.0,1.0,1.0,6.123233995736766e-17,0,0,0,0,0,0,37.0,41.0,23.0,39.0,42.285714285714285,11.484979839109922,32.0,15.536557385232275,28.107142857142858,13.236703421181472,28.0,60.0,830.0,0.2716041887212035,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-07,SKU_1001,28,350.0,8,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,1,3,1,7,66,0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0,0,0,0,0,0,25.0,31.0,10.0,27.0,40.0,13.241349377360786,32.142857142857146,15.456425812622369,27.607142857142858,13.07340893432241,25.0,60.0,822.0,0.3310336516756067,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-08,SKU_1001,31,387.5,12,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,2,3,1,8,67,0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0,0,0,0,0,0,28.0,28.0,23.0,33.0,39.57142857142857,13.62420814649597,33.42857142857143,14.1677547524396,27.642857142857142,13.07305480386133,25.0,60.0,840.0,0.3442939816783143,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-09,SKU_1001,15,187.5,9,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,3,3,1,9,68,0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0,0,0,0,0,0,31.0,47.0,28.0,19.0,40.0,13.241349377360786,34.0,13.87305079863613,27.571428571428573,13.048140413636272,25.0,60.0,832.0,0.3310336516756067,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-10,SKU_1001,27,337.5,12,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,4,3,1,10,69,0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0,0,0,0,0,0,15.0,52.0,44.0,23.0,35.42857142857143,15.714718608755954,33.07142857142857,14.71505919230253,27.428571428571427,13.166817358992995,15.0,60.0,820.0,0.4435604806937823,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-11,SKU_1001,48,600.0,20,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,5,3,1,11,70,1,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0,0,0,0,0,0,27.0,60.0,12.0,39.0,31.857142857142858,14.076322571710872,31.857142857142858,14.44276312183395,27.571428571428573,13.138658174423234,15.0,60.0,814.0,0.44185752050201643,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-12,SKU_1001,37,462.5,21,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,6,3,1,12,71,1,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0,0,0,0,0,48.0,37.0,12.0,19.0,30.142857142857142,10.30256556120159,34.42857142857143,13.827031973160885,27.892857142857142,13.532784022005346,15.0,48.0,843.0,0.34179116115180025,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-13,SKU_1001,25,312.5,11,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,0,3,1,13,72,0,0.0,1.0,1.0,6.123233995736766e-17,0,0,0,0,0,0,37.0,25.0,41.0,30.0,30.142857142857142,10.30256556120159,36.214285714285715,12.229715207883393,28.535714285714285,13.52222352649626,15.0,48.0,857.0,0.34179116115180025,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-14,SKU_1001,6,75.0,5,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,1,3,1,14,73,0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0,0,0,0,0,0,25.0,28.0,31.0,26.0,30.142857142857142,10.30256556120159,35.07142857142857,12.492855100873813,28.357142857142858,13.535178543375704,15.0,48.0,843.0,0.34179116115180025,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-15,SKU_1001,21,262.5,8,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,2,3,1,15,74,0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0,0,0,0,0,0,6.0,31.0,28.0,8.0,27.0,13.820274961085254,33.285714285714285,14.709643992076305,27.642857142857142,14.176700461631961,6.0,48.0,830.0,0.5118618460172887,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-16,SKU_1001,33,412.5,10,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,3,3,1,16,75,0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0,0,0,0,0,0,21.0,15.0,47.0,10.0,25.571428571428573,13.854688049623528,32.785714285714285,15.018852621486579,28.107142857142858,13.714926406991989,6.0,48.0,821.0,0.5418032314030083,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-17,SKU_1001,12,150.0,8,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,4,3,1,17,76,0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0,0,0,0,0,0,33.0,27.0,52.0,15.0,28.142857142857142,13.221555271961153,31.785714285714285,14.45512191060835,28.928571428571427,13.271882200458869,6.0,48.0,828.0,0.46980128942963356,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-18,SKU_1001,35,437.5,16,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,5,3,1,18,77,1,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0,0,0,0,0,0,12.0,48.0,60.0,26.0,26.0,14.583095236151573,28.928571428571427,14.10108716874906,28.821428571428573,13.399982231686863,6.0,48.0,832.0,0.5608880625873441,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-19,SKU_1001,40,500.0,17,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,6,3,1,19,78,1,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0,0,0,0,0,35.0,37.0,37.0,25.0,24.142857142857142,11.894376422334656,27.142857142857142,11.134541839609836,29.142857142857142,13.437686875776961,6.0,37.0,857.0,0.49266627496865883,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-20,SKU_1001,36,450.0,12,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,0,3,1,20,79,0,0.0,1.0,1.0,6.123233995736766e-17,0,0,0,0,0,0,40.0,25.0,25.0,23.0,24.571428571428573,12.47473637473144,27.357142857142858,11.365312563688239,29.678571428571427,13.56480623724379,6.0,40.0,882.0,0.5076925528176824,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-21,SKU_1001,22,275.0,11,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,1,3,1,21,80,0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0,0,0,0,0,0,36.0,6.0,28.0,10.0,26.142857142857142,13.208943579112999,28.142857142857142,11.568239962249049,30.142857142857142,13.550220131365592,6.0,40.0,892.0,0.5052599436371308,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-22,SKU_1001,30,375.0,8,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,2,3,1,22,81,0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0,0,0,0,0,0,22.0,21.0,31.0,23.0,28.428571428571427,10.179344164485627,27.714285714285715,11.684497102035355,30.571428571428573,13.07082862126807,12.0,40.0,889.0,0.3580672567170423,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-23,SKU_1001,32,400.0,14,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,3,3,1,23,82,0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0,0,0,0,0,0,30.0,33.0,15.0,28.0,29.714285714285715,9.638711630957834,27.642857142857142,11.665907876946683,30.821428571428573,12.987325934180394,12.0,40.0,896.0,0.32437960918332787,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-24,SKU_1001,61,762.5,22,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,4,3,1,24,83,0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0,0,0,0,0,0,32.0,12.0,27.0,44.0,29.571428571428573,9.589180410878757,28.857142857142858,11.120716239088638,30.964285714285715,12.977136997661866,12.0,40.0,918.0,0.32427169167697045,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-25,SKU_1001,7,87.5,5,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,5,3,1,25,84,1,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0,0,0,0,0,0,61.0,35.0,48.0,12.0,36.57142857142857,12.163567772342981,31.285714285714285,14.018825647231392,31.571428571428573,13.969354213522431,22.0,61.0,956.0,0.332597465330384,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-26,SKU_1001,17,212.5,14,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,6,3,1,26,85,1,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0,0,0,0,0,7.0,40.0,37.0,12.0,32.57142857142857,16.57163382467304,28.357142857142858,14.53170085263008,31.392857142857142,14.257783542135547,7.0,61.0,935.0,0.5087780752554649,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-27,SKU_1001,4,50.0,3,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,0,3,1,27,86,0,0.0,1.0,1.0,6.123233995736766e-17,0,0,0,0,0,0,17.0,36.0,25.0,41.0,29.285714285714285,17.124196192466822,26.928571428571427,14.599601078397715,31.571428571428573,14.035480362093374,7.0,61.0,908.0,0.5847284508111035,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-28,SKU_1001,38,475.0,12,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,1,3,1,28,87,0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0,0,0,0,0,0,4.0,22.0,6.0,31.0,24.714285714285715,19.180843618171803,25.428571428571427,15.839164147110823,30.25,14.833957539924944,4.0,61.0,900.0,0.7761031849709807,0,0,1,0,0,0,0,0,2.591068898766282
2023-03-29,SKU_1001,45,562.5,18,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,2,3,1,29,88,0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0,0,0,0,0,0,38.0,30.0,21.0,28.0,27.0,19.748417658131498,27.714285714285715,15.112035811684223,30.5,14.905877538245944,4.0,61.0,926.0,0.7314226053298313,0,0,1,0,0,0,0,0,2.591068898766282
