InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,StoreRegion,Category
C513692,SKU_1003,Ergonomic Memory Foam Chair Cushion,-4,2023-07-05 00:02:07,29.95,CUST_01563,United Kingdom,Region-North,Office
564180,SKU_1003,Ergonomic Memory Foam Chair Cushion,1,2024-12-09 12:21:03,29.95,CUST_01076,United Kingdom,Region-West,Office
543713,SKU_1010,Non-Stick Cast Iron Skillet 12-inch,3,2024-05-09 20:43:48,42.5,CUST_01580,United States,Region-West,Cookware
553160,SKU_1004,Organic Bamboo Bath Towel Set,4,2024-08-24 08:21:22,34.0,CUST_01746,United States,Region-East,Home & Kitchen
555648,SKU_1009,Heavy-Duty Canvas Travel Backpack,2,2024-09-22 15:09:43,55.0,CUST_01564,United Kingdom,Region-East,Luggage & Travel
543657,SKU_1003,Ergonomic Memory Foam Chair Cushion,1,2024-05-09 15:00:07,29.95,CUST_01167,France,Region-East,Office
501446,SKU_1006,Minimalist Smart LED Desk Lamp,2,2023-01-23 21:03:21,39.5,CUST_01147,Australia,Region-South,Lighting
536083,SKU_1003,Ergonomic Memory Foam Chair Cushion,4,2024-02-01 17:30:51,29.95,CUST_01771,United Kingdom,Region-West,Office
515279,SKU_1001,Vintage Ceramic Coffee Mug,1,2023-07-18 09:58:41,10.62,CUST_01191,Germany,Region-East,Home & Kitchen
536254,SKU_1005,Insulated Stainless Water Bottle 32oz,2,2024-02-03 21:05:03,22.0,CUST_01781,United Kingdom,Region-East,Sports & Outdoors
503404,SKU_1010,Non-Stick Cast Iron Skillet 12-inch,2,2023-02-21 17:31:12,42.5,CUST_01644,United States,Region-East,Cookware
511401,SKU_1002,Wireless Bluetooth Earbuds,3,2023-06-04 13:06:44,49.99,CUST_01005,United Kingdom,Region-North,Electronics
558383,SKU_1007,Mechanical Gaming Keyboard RGB,8,2024-10-28 09:51:28,79.99,CUST_01155,United Kingdom,Region-West,Electronics
504922,SKU_1008,Aromatherapy Essential Oil Diffuser,1,2023-03-13 09:09:21,24.99,CUST_01161,United Kingdom,Region-East,Wellness
546066,SKU_1006,Minimalist Smart LED Desk Lamp,2,2024-06-08 16:12:51,39.5,CUST_01795,Germany,Region-West,Lighting
516812,SKU_1002,Wireless Bluetooth Earbuds,10,2023-08-03 13:41:00,49.99,CUST_01320,United Kingdom,Region-North,Electronics
553287,SKU_1005,Insulated Stainless Water Bottle 32oz,1,2024-08-25 08:23:16,22.0,CUST_01319,United Kingdom,Region-West,Sports & Outdoors
515855,SKU_1002,Wireless Bluetooth Earbuds,1,2023-07-23 17:53:26,49.99,CUST_01623,United Kingdom,Region-North,Electronics
509612,SKU_1005,Insulated Stainless Water Bottle 32oz,1,2023-05-12 08:12:47,22.0,CUST_01336,France,Region-East,Sports & Outdoors
542098,SKU_1010,Non-Stick Cast Iron Skillet 12-inch,1,2024-04-19 19:01:28,42.5,CUST_01533,United Kingdom,Region-South,Cookware
556636,SKU_1003,Ergonomic Memory Foam Chair Cushion,4,2024-10-06 18:22:16,29.95,CUST_01009,France,Region-East,Office
500126,SKU_1008,Aromatherapy Essential Oil Diffuser,1,2023-01-02 13:50:03,24.99,CUST_01194,United Kingdom,Region-North,Wellness
532274,SKU_1001,Vintage Ceramic Coffee Mug,1,2023-12-21 15:08:17,11.25,CUST_01578,France,Region-West,Home & Kitchen
C553760,SKU_1007,Mechanical Gaming Keyboard RGB,-2,2024-08-31 00:47:28,79.99,CUST_01375,United Kingdom,Region-North,Electronics
505549,SKU_1006,Minimalist Smart LED Desk Lamp,10,2023-03-22 19:16:00,39.5,,Germany,Region-West,Lighting
544424,SKU_1002,Wireless Bluetooth Earbuds,1,2024-05-19 19:34:11,49.99,CUST_01799,United Kingdom,Region-West,Electronics
535760,SKU_1001,Vintage Ceramic Coffee Mug,1,2024-01-27 15:59:01,12.5,CUST_01240,United Kingdom,Region-South,Home & Kitchen
536610,SKU_1001,Vintage Ceramic Coffee Mug,2,2024-02-09 15:58:36,12.5,CUST_01021,United Kingdom,Region-South,Home & Kitchen
559226,SKU_1010,Non-Stick Cast Iron Skillet 12-inch,1,2024-11-06 12:32:18,42.5,CUST_01038,Germany,Region-North,Cookware
523885,SKU_1002,Wireless Bluetooth Earbuds,4,2023-10-27 08:20:48,49.99,CUST_01769,United Kingdom,Region-North,Electronics
521251,SKU_1006,Minimalist Smart LED Desk Lamp,1,2023-09-22 09:56:56,39.5,CUST_01773,United Kingdom,Region-West,Lighting
507129,SKU_1008,Aromatherapy Essential Oil Diffuser,5,2023-04-11 13:45:45,24.99,CUST_01168,Germany,Region-East,Wellness
567063,SKU_1010,Non-Stick Cast Iron Skillet 12-inch,5,2024-12-23 10:43:29,38.25,CUST_01738,United Kingdom,Region-South,Cookware
C520346,SKU_1005,Insulated Stainless Water Bottle 32oz,-1,2023-09-12 02:10:38,22.0,CUST_01631,United Kingdom,Region-West,Sports & Outdoors
501556,SKU_1007,Mechanical Gaming Keyboard RGB,2,2023-01-25 12:29:21,79.99,CUST_01360,United Kingdom,Region-South,Electronics
511715,SKU_1003,Ergonomic Memory Foam Chair Cushion,1,2023-06-09 09:07:08,29.95,CUST_01712,United Kingdom,Region-South,Office
530781,SKU_1006,Minimalist Smart LED Desk Lamp,2,2023-12-15 15:58:10,35.55,CUST_01351,Germany,Region-West,Lighting
511915,SKU_1005,Insulated Stainless Water Bottle 32oz,4,2023-06-11 10:31:52,22.0,CUST_01450,United Kingdom,Region-East,Sports & Outdoors
510530,SKU_1001,Vintage Ceramic Coffee Mug,1,2023-05-24 16:19:07,12.5,CUST_01267,United Kingdom,Region-South,Home & Kitchen
512179,SKU_1002,Wireless Bluetooth Earbuds,1,2023-06-15 18:00:56,49.99,,Australia,Region-East,Electronics
545833,SKU_1007,Mechanical Gaming Keyboard RGB,4,2024-06-05 18:15:53,79.99,CUST_01603,United Kingdom,Region-South,Electronics
539523,SKU_1009,Heavy-Duty Canvas Travel Backpack,2,2024-03-19 19:28:39,55.0,CUST_01765,United Kingdom,Region-East,Luggage & Travel
550984,SKU_1007,Mechanical Gaming Keyboard RGB,3,2024-07-31 19:56:39,79.99,CUST_01273,France,Region-South,Electronics
562985,SKU_1010,Non-Stick Cast Iron Skillet 12-inch,1,2024-12-01 14:16:44,34.0,CUST_01147,United Kingdom,Region-East,Cookware
550734,SKU_1005,Insulated Stainless Water Bottle 32oz,2,2024-07-28 16:46:08,22.0,CUST_01415,United Kingdom,Region-East,Sports & Outdoors
509728,SKU_1001,Vintage Ceramic Coffee Mug,3,2023-05-14 18:12:29,12.5,CUST_01650,United Kingdom,Region-North,Home & Kitchen
548978,SKU_1002,Wireless Bluetooth Earbuds,3,2024-07-13 19:56:45,42.49,CUST_01048,United Kingdom,Region-West,Electronics
550136,SKU_1005,Insulated Stainless Water Bottle 32oz,2,2024-07-21 14:45:40,22.0,CUST_01394,United Kingdom,Region-South,Sports & Outdoors
510161,SKU_1009,Heavy-Duty Canvas Travel Backpack,2,2023-05-19 11:33:46,55.0,CUST_01275,United Kingdom,Region-West,Luggage & Travel
542529,SKU_1005,Insulated Stainless Water Bottle 32oz,3,2024-04-25 12:06:41,22.0,CUST_01037,United Kingdom,Region-East,Sports & Outdoors
527661,SKU_1008,Aromatherapy Essential Oil Diffuser,2,2023-11-26 17:46:40,19.99,CUST_01515,United Kingdom,Region-North,Wellness
520763,SKU_1006,Minimalist Smart LED Desk Lamp,2,2023-09-16 12:44:12,39.5,CUST_01587,United Kingdom,Region-North,Lighting
556084,SKU_1001,Vintage Ceramic Coffee Mug,2,2024-09-29 18:32:24,12.5,CUST_01559,Australia,Region-West,Home & Kitchen
557472,SKU_1005,Insulated Stainless Water Bottle 32oz,5,2024-10-17 12:40:59,22.0,CUST_01140,Germany,Region-North,Sports & Outdoors
539601,SKU_1001,Vintage Ceramic Coffee Mug,1,2024-03-21 20:21:14,12.5,CUST_01182,United Kingdom,Region-South,Home & Kitchen
547638,SKU_1005,Insulated Stainless Water Bottle 32oz,1,2024-06-28 21:19:09,22.0,CUST_01665,United Kingdom,Region-South,Sports & Outdoors
526433,SKU_1001,Vintage Ceramic Coffee Mug,2,2023-11-20 20:33:31,12.5,CUST_01470,France,Region-East,Home & Kitchen
517046,SKU_1005,Insulated Stainless Water Bottle 32oz,3,2023-08-05 12:16:54,22.0,CUST_01204,Germany,Region-North,Sports & Outdoors
517193,SKU_1004,Organic Bamboo Bath Towel Set,2,2023-08-07 15:35:11,34.0,CUST_01403,United Kingdom,Region-West,Home & Kitchen
554283,SKU_1001,Vintage Ceramic Coffee Mug,2,2024-09-06 15:30:38,12.5,CUST_01661,France,Region-East,Home & Kitchen
527066,SKU_1007,Mechanical Gaming Keyboard RGB,4,2023-11-24 14:09:32,63.99,,Germany,Region-West,Electronics
526582,SKU_1005,Insulated Stainless Water Bottle 32oz,4,2023-11-21 16:28:33,22.0,CUST_01621,Australia,Region-East,Sports & Outdoors
528558,SKU_1002,Wireless Bluetooth Earbuds,1,2023-12-01 15:03:49,39.99,CUST_01342,United Kingdom,Region-North,Electronics
524451,SKU_1008,Aromatherapy Essential Oil Diffuser,2,2023-11-02 15:14:15,24.99,CUST_01158,United Kingdom,Region-East,Wellness
565438,SKU_1005,Insulated Stainless Water Bottle 32oz,3,2024-12-17 09:38:03,19.8,CUST_01730,United Kingdom,Region-North,Sports & Outdoors
518383,SKU_1010,Non-Stick Cast Iron Skillet 12-inch,2,2023-08-19 14:51:04,42.5,CUST_01112,United Kingdom,Region-West,Cookware
513237,SKU_1004,Organic Bamboo Bath Towel Set,2,2023-06-29 20:21:47,34.0,CUST_01063,United Kingdom,Region-South,Home & Kitchen
522431,SKU_1010,Non-Stick Cast Iron Skillet 12-inch,4,2023-10-07 16:08:15,42.5,CUST_01015,United States,Region-South,Cookware
518114,SKU_1008,Aromatherapy Essential Oil Diffuser,2,2023-08-16 08:35:29,24.99,CUST_01281,United Kingdom,Region-South,Wellness
567674,SKU_1008,Aromatherapy Essential Oil Diffuser,3,2024-12-28 12:41:18,24.99,CUST_01209,Australia,Region-South,Wellness
519476,SKU_1001,Vintage Ceramic Coffee Mug,2,2023-09-01 10:27:18,12.5,CUST_01652,United Kingdom,Region-West,Home & Kitchen
506660,SKU_1009,Heavy-Duty Canvas Travel Backpack,2,2023-04-05 11:24:38,55.0,CUST_01414,Germany,Region-South,Luggage & Travel
513016,SKU_1004,Organic Bamboo Bath Towel Set,2,2023-06-26 11:00:16,34.0,CUST_01065,Germany,Region-South,Home & Kitchen
517914,SKU_1006,Minimalist Smart LED Desk Lamp,1,2023-08-14 11:08:56,39.5,,United Kingdom,Region-North,Lighting
516900,SKU_1002,Wireless Bluetooth Earbuds,1,2023-08-04 13:17:30,49.99,CUST_01041,United States,Region-West,Electronics
541492,SKU_1005,Insulated Stainless Water Bottle 32oz,1,2024-04-12 19:00:00,22.0,CUST_01675,United Kingdom,Region-East,Sports & Outdoors
521635,SKU_1005,Insulated Stainless Water Bottle 32oz,4,2023-09-27 14:01:40,22.0,CUST_01114,United Kingdom,Region-South,Sports & Outdoors
506791,SKU_1005,Insulated Stainless Water Bottle 32oz,8,2023-04-07 13:51:10,22.0,,United Kingdom,Region-South,Sports & Outdoors
559136,SKU_1010,Non-Stick Cast Iron Skillet 12-inch,2,2024-11-05 12:58:05,42.5,CUST_01481,United Kingdom,Region-North,Cookware
552926,SKU_1003,Ergonomic Memory Foam Chair Cushion,2,2024-08-22 18:37:40,29.95,CUST_01021,Germany,Region-West,Office
555777,SKU_1005,Insulated Stainless Water Bottle 32oz,2,2024-09-24 08:30:18,22.0,CUST_01785,United Kingdom,Region-South,Sports & Outdoors
518012,SKU_1008,Aromatherapy Essential Oil Diffuser,5,2023-08-15 09:12:15,24.99,CUST_01386,Germany,Region-North,Wellness
532035,SKU_1001,Vintage Ceramic Coffee Mug,4,2023-12-20 19:14:31,11.25,CUST_01791,Germany,Region-North,Home & Kitchen
554525,SKU_1010,Non-Stick Cast Iron Skillet 12-inch,2,2024-09-08 17:00:49,42.5,CUST_01361,United Kingdom,Region-East,Cookware
534457,SKU_1005,Insulated Stainless Water Bottle 32oz,2,2024-01-06 17:11:15,22.0,CUST_01683,United Kingdom,Region-East,Sports & Outdoors
540895,SKU_1005,Insulated Stainless Water Bottle 32oz,1,2024-04-05 19:39:02,22.0,CUST_01464,United States,Region-North,Sports & Outdoors
527451,SKU_1001,Vintage Ceramic Coffee Mug,1,2023-11-26 16:25:30,10.0,,United Kingdom,Region-West,Home & Kitchen
563548,SKU_1007,Mechanical Gaming Keyboard RGB,1,2024-12-04 14:29:39,63.99,CUST_01313,Germany,Region-East,Electronics
C547870,SKU_1002,Wireless Bluetooth Earbuds,-3,2024-07-02 03:09:27,49.99,CUST_01056,United Kingdom,Region-South,Electronics
502680,SKU_1003,Ergonomic Memory Foam Chair Cushion,1,2023-02-11 16:10:00,29.95,CUST_01579,United States,Region-West,Office
535546,SKU_1005,Insulated Stainless Water Bottle 32oz,1,2024-01-23 11:43:04,22.0,CUST_01075,Germany,Region-North,Sports & Outdoors
527312,SKU_1005,Insulated Stainless Water Bottle 32oz,1,2023-11-25 13:59:39,17.6,CUST_01766,United Kingdom,Region-North,Sports & Outdoors
525567,SKU_1003,Ergonomic Memory Foam Chair Cushion,3,2023-11-12 08:35:42,29.95,CUST_01073,United Kingdom,Region-North,Office
540478,SKU_1004,Organic Bamboo Bath Towel Set,1,2024-03-31 17:27:50,34.0,CUST_01412,Germany,Region-South,Home & Kitchen
547370,SKU_1010,Non-Stick Cast Iron Skillet 12-inch,2,2024-06-24 15:17:28,42.5,CUST_01237,United Kingdom,Region-South,Cookware
535880,SKU_1008,Aromatherapy Essential Oil Diffuser,1,2024-01-28 09:19:10,24.99,CUST_01549,United Kingdom,Region-West,Wellness
510445,SKU_1008,Aromatherapy Essential Oil Diffuser,1,2023-05-22 10:27:44,24.99,CUST_01372,Germany,Region-South,Wellness
565207,SKU_1004,Organic Bamboo Bath Towel Set,4,2024-12-16 20:28:34,30.6,CUST_01281,United States,Region-East,Home & Kitchen
525127,SKU_1005,Insulated Stainless Water Bottle 32oz,1,2023-11-08 10:44:33,22.0,CUST_01503,France,Region-North,Sports & Outdoors
543672,SKU_1004,Organic Bamboo Bath Towel Set,1,2024-05-09 10:26:17,34.0,CUST_01278,United States,Region-West,Home & Kitchen
503761,SKU_1004,Organic Bamboo Bath Towel Set,4,2023-02-27 10:41:55,34.0,,Australia,Region-West,Home & Kitchen
548835,SKU_1001,Vintage Ceramic Coffee Mug,3,2024-07-12 08:09:25,10.62,CUST_01632,Australia,Region-South,Home & Kitchen
503827,SKU_1003,Ergonomic Memory Foam Chair Cushion,2,2023-02-28 18:13:10,29.95,,United Kingdom,Region-South,Office
501889,SKU_1004,Organic Bamboo Bath Towel Set,2,2023-01-30 15:39:06,34.0,CUST_01052,United Kingdom,Region-North,Home & Kitchen
545690,SKU_1007,Mechanical Gaming Keyboard RGB,2,2024-06-03 18:26:28,79.99,CUST_01119,Australia,Region-North,Electronics
506722,SKU_1010,Non-Stick Cast Iron Skillet 12-inch,2,2023-04-06 21:35:30,42.5,CUST_01439,United Kingdom,Region-South,Cookware
517033,SKU_1005,Insulated Stainless Water Bottle 32oz,2,2023-08-05 09:28:39,22.0,CUST_01574,United Kingdom,Region-South,Sports & Outdoors
544982,SKU_1001,Vintage Ceramic Coffee Mug,1,2024-05-26 18:09:51,12.5,CUST_01329,United Kingdom,Region-West,Home & Kitchen
507407,SKU_1009,Heavy-Duty Canvas Travel Backpack,3,2023-04-14 11:34:18,55.0,,United Kingdom,Region-North,Luggage & Travel
539944,SKU_1001,Vintage Ceramic Coffee Mug,4,2024-03-25 10:58:41,12.5,CUST_01625,Germany,Region-East,Home & Kitchen
506782,SKU_1004,Organic Bamboo Bath Towel Set,1,2023-04-07 16:27:59,34.0,CUST_01071,United Kingdom,Region-West,Home & Kitchen
513432,SKU_1005,Insulated Stainless Water Bottle 32oz,1,2023-07-01 20:43:40,22.0,CUST_01614,United Kingdom,Region-South,Sports & Outdoors
546678,SKU_1001,Vintage Ceramic Coffee Mug,2,2024-06-16 12:37:58,12.5,CUST_01355,United Kingdom,Region-East,Home & Kitchen
536032,SKU_1005,Insulated Stainless Water Bottle 32oz,2,2024-01-31 21:00:05,22.0,CUST_01175,United Kingdom,Region-West,Sports & Outdoors
542053,SKU_1005,Insulated Stainless Water Bottle 32oz,4,2024-04-19 20:19:00,22.0,CUST_01408,United Kingdom,Region-North,Sports & Outdoors
518055,SKU_1001,Vintage Ceramic Coffee Mug,1,2023-08-16 17:54:01,12.5,CUST_01431,France,Region-East,Home & Kitchen
500174,SKU_1005,Insulated Stainless Water Bottle 32oz,4,2023-01-03 10:10:57,22.0,CUST_01460,United Kingdom,Region-East,Sports & Outdoors
519103,SKU_1008,Aromatherapy Essential Oil Diffuser,1,2023-08-27 19:46:22,24.99,CUST_01766,United Kingdom,Region-North,Wellness
533481,SKU_1002,Wireless Bluetooth Earbuds,3,2023-12-27 15:55:45,49.99,CUST_01057,United States,Region-South,Electronics
554658,SKU_1008,Aromatherapy Essential Oil Diffuser,1,2024-09-10 18:39:50,24.99,CUST_01612,Germany,Region-North,Wellness
512707,SKU_1005,Insulated Stainless Water Bottle 32oz,1,2023-06-22 08:56:26,22.0,,United Kingdom,Region-West,Sports & Outdoors
532773,SKU_1008,Aromatherapy Essential Oil Diffuser,3,2023-12-22 20:35:03,22.49,CUST_01137,United Kingdom,Region-North,Wellness
562721,SKU_1006,Minimalist Smart LED Desk Lamp,4,2024-11-30 08:25:50,39.5,CUST_01095,Australia,Region-South,Lighting
509317,SKU_1005,Insulated Stainless Water Bottle 32oz,5,2023-05-08 08:51:45,22.0,CUST_01245,United States,Region-North,Sports & Outdoors
534774,SKU_1006,Minimalist Smart LED Desk Lamp,3,2024-01-11 19:06:11,39.5,CUST_01253,United Kingdom,Region-North,Lighting
535298,SKU_1008,Aromatherapy Essential Oil Diffuser,5,2024-01-19 17:25:21,24.99,CUST_01432,United Kingdom,Region-North,Wellness
535753,SKU_1010,Non-Stick Cast Iron Skillet 12-inch,3,2024-01-26 13:08:20,42.5,,United Kingdom,Region-South,Cookware
522147,SKU_1005,Insulated Stainless Water Bottle 32oz,1,2023-10-04 12:16:18,22.0,CUST_01780,United States,Region-East,Sports & Outdoors
518162,SKU_1007,Mechanical Gaming Keyboard RGB,1,2023-08-17 08:00:02,79.99,CUST_01593,Germany,Region-West,Electronics
531504,SKU_1010,Non-Stick Cast Iron Skillet 12-inch,1,2023-12-17 18:19:26,38.25,CUST_01691,United States,Region-West,Cookware
545550,SKU_1010,Non-Stick Cast Iron Skillet 12-inch,3,2024-06-01 17:24:46,42.5,CUST_01321,United Kingdom,Region-East,Cookware
513077,SKU_1002,Wireless Bluetooth Earbuds,3,2023-06-27 08:01:24,49.99,CUST_01766,United Kingdom,Region-East,Electronics
556571,SKU_1007,Mechanical Gaming Keyboard RGB,1,2024-10-05 19:57:28,79.99,CUST_01355,United Kingdom,Region-West,Electronics
559990,SKU_1003,Ergonomic Memory Foam Chair Cushion,10,2024-11-13 15:28:12,29.95,CUST_01533,United States,Region-West,Office
C506894,SKU_1005,Insulated Stainless Water Bottle 32oz,-1,2023-04-09 04:46:26,22.0,CUST_01780,United Kingdom,Region-East,Sports & Outdoors
564323,SKU_1007,Mechanical Gaming Keyboard RGB,1,2024-12-10 08:15:04,79.99,CUST_01538,United States,Region-South,Electronics
550025,SKU_1008,Aromatherapy Essential Oil Diffuser,1,2024-07-20 20:23:46,21.24,CUST_01201,France,Region-West,Wellness
519489,SKU_1004,Organic Bamboo Bath Towel Set,1,2023-09-01 08:54:49,34.0,CUST_01345,United States,Region-East,Home & Kitchen
550784,SKU_1002,Wireless Bluetooth Earbuds,1,2024-07-29 20:05:25,49.99,CUST_01280,Germany,Region-West,Electronics
551746,SKU_1001,Vintage Ceramic Coffee Mug,5,2024-08-09 17:56:44,12.5,CUST_01799,United Kingdom,Region-North,Home & Kitchen
519749,SKU_1005,Insulated Stainless Water Bottle 32oz,2,2023-09-04 11:45:11,22.0,CUST_01390,United Kingdom,Region-South,Sports & Outdoors
526444,SKU_1002,Wireless Bluetooth Earbuds,4,2023-11-20 12:10:56,49.99,CUST_01760,United Kingdom,Region-North,Electronics
540755,SKU_1005,Insulated Stainless Water Bottle 32oz,2,2024-04-03 09:20:49,22.0,CUST_01481,United Kingdom,Region-South,Sports & Outdoors
559864,SKU_1001,Vintage Ceramic Coffee Mug,3,2024-11-12 12:29:54,12.5,,United Kingdom,Region-South,Home & Kitchen
560719,SKU_1008,Aromatherapy Essential Oil Diffuser,2,2024-11-19 16:49:02,24.99,CUST_01058,Germany,Region-East,Wellness
507088,SKU_1001,Vintage Ceramic Coffee Mug,3,2023-04-11 09:28:31,12.5,CUST_01205,France,Region-North,Home & Kitchen
504995,SKU_1001,Vintage Ceramic Coffee Mug,3,2023-03-15 12:11:03,12.5,,United Kingdom,Region-West,Home & Kitchen
C530759,SKU_1005,Insulated Stainless Water Bottle 32oz,-3,2023-12-15 23:08:43,19.8,CUST_01177,United Kingdom,Region-South,Sports & Outdoors
542579,SKU_1001,Vintage Ceramic Coffee Mug,1,2024-04-26 20:20:01,12.5,CUST_01473,United Kingdom,Region-North,Home & Kitchen
565258,SKU_1006,Minimalist Smart LED Desk Lamp,12,2024-12-16 18:48:16,35.55,CUST_01332,United Kingdom,Region-East,Lighting
552739,SKU_1001,Vintage Ceramic Coffee Mug,1,2024-08-20 08:09:35,12.5,CUST_01155,United Kingdom,Region-South,Home & Kitchen
550147,SKU_1007,Mechanical Gaming Keyboard RGB,2,2024-07-21 18:24:45,79.99,CUST_01496,France,Region-South,Electronics
529806,SKU_1004,Organic Bamboo Bath Towel Set,1,2023-12-08 18:32:15,34.0,CUST_01284,United Kingdom,Region-East,Home & Kitchen
535856,SKU_1005,Insulated Stainless Water Bottle 32oz,4,2024-01-28 18:42:40,22.0,CUST_01746,United Kingdom,Region-East,Sports & Outdoors
527486,SKU_1002,Wireless Bluetooth Earbuds,2,2023-11-26 08:43:00,39.99,CUST_01778,Germany,Region-East,Electronics
501952,SKU_1004,Organic Bamboo Bath Towel Set,2,2023-01-31 15:56:37,34.0,CUST_01522,United States,Region-South,Home & Kitchen
528880,SKU_1005,Insulated Stainless Water Bottle 32oz,5,2023-12-02 14:34:14,17.6,CUST_01265,United States,Region-North,Sports & Outdoors
523888,SKU_1002,Wireless Bluetooth Earbuds,2,2023-10-27 10:02:51,49.99,CUST_01593,United Kingdom,Region-East,Electronics
504910,SKU_1005,Insulated Stainless Water Bottle 32oz,1,2023-03-13 13:26:14,22.0,CUST_01208,France,Region-North,Sports & Outdoors
517002,SKU_1002,Wireless Bluetooth Earbuds,2,2023-08-05 12:53:48,49.99,CUST_01677,United Kingdom,Region-South,Electronics
560443,SKU_1001,Vintage Ceramic Coffee Mug,1,2024-11-17 13:20:34,12.5,CUST_01090,United Kingdom,Region-North,Home & Kitchen
562814,SKU_1001,Vintage Ceramic Coffee Mug,1,2024-12-01 08:53:14,10.0,CUST_01672,United Kingdom,Region-East,Home & Kitchen
509274,SKU_1008,Aromatherapy Essential Oil Diffuser,1,2023-05-07 18:31:51,24.99,CUST_01184,France,Region-West,Wellness
552191,SKU_1006,Minimalist Smart LED Desk Lamp,1,2024-08-13 21:48:47,39.5,CUST_01696,United Kingdom,Region-North,Lighting
502000,SKU_1010,Non-Stick Cast Iron Skillet 12-inch,1,2023-01-31 13:40:38,42.5,,Germany,Region-North,Cookware
521509,SKU_1005,Insulated Stainless Water Bottle 32oz,2,2023-09-25 08:59:38,22.0,CUST_01768,United Kingdom,Region-West,Sports & Outdoors
509987,SKU_1003,Ergonomic Memory Foam Chair Cushion,1,2023-05-17 09:18:39,29.95,CUST_01617,Germany,Region-East,Office
C501350,SKU_1001,Vintage Ceramic Coffee Mug,-4,2023-01-23 01:30:09,12.5,,Germany,Region-East,Home & Kitchen
529108,SKU_1004,Organic Bamboo Bath Towel Set,3,2023-12-03 14:58:19,27.2,CUST_01580,United Kingdom,Region-East,Home & Kitchen
542280,SKU_1010,Non-Stick Cast Iron Skillet 12-inch,1,2024-04-21 21:46:35,42.5,,United Kingdom,Region-West,Cookware
